Nom,Adreces/Carrer,Adreces/Carrer (bis),Adreces/Ciutat,Adreces/Codi postal,Adreces/Subdivisió/Codi,Adreces/País/Codi,CIF/NIF
ANORTEC S.L.,"MALLORCA, 41 PG SUD OEST",,Sant Quirze Del Valles,08192,ES-B,ES,ESB60486503
ANTIDESGAST S.A.,"AV PAISOS CATALANS, S/N 17",,Lliça D'Amunt,08186,ES-B,ES,ESA08410078
ANTONIO BARBA S.A.,"ROGER DE LLURIA, 56 PR",,Barcelona,08009,ES-B,ES,ESA08514143
ANTONIO CAPEL RODRIGUEZ S.L.,"DE LA FISICA, 5",,Terra Nostra,08110,ES-B,ES,ESB60569852
ANTONIO MENGIBAR S.A.,"CESAR MARTINELL, 23",,Rubi,08191,ES-B,ES,ESA58657214
ANTONIO Y CANDIDO S.L.,"LLIÇA, 8",,Mas Dorca,08480,ES-B,ES,ESB62046560
ANUDAL INDUSTRIAL S.L.,"AV CONFLENT, 100",,Badalona,08915,ES-B,ES,ESB64348261
ANZIZU BARBA Y LOPEZ PROCURADORES SLP,"CORSEGA, 302 1",,Barcelona,08008,ES-B,ES,ESB58088279
A. P. A. ESPAÑA S.L.,"JACINT VERDAGUER, 139",,Sabadell,08205,ES-B,ES,ESB59514695
APAX PARTNERS ESPAÑA S.L.,"AV DIAGONAL, S/N 5 F",,Barcelona,08017,ES-B,ES,ESB82264862
APC ALMACENES DE PRODUCTOS CONGELADOS S.A.,"AV DEL CAMI REIAL, 47",,El Carrer Baix-Plana Can Periquet,08184,ES-B,ES,ESA58398512
APLICACIONES ELECTRICAS INSTALACIONES Y MANTENIMIE,"PARELLADA, 22",,Barcelona,08030,ES-B,ES,ESB61567194
APLICCA IDENTITY SOLUTIONS S.L.,"CAMPOAMOR, 32",,Cerdanyola Del Valles,08290,ES-B,ES,ESB82060914
APOLO FIJACIONES Y HERRAMIENTAS S.L.,"GARROTXA, 10",,Pla De La Bruguera,08211,ES-B,ES,ESB61238168
APPCO DIRECT GROUP ESPAÑA S.L.U.,"PS GRACIA, 21 5",,Barcelona,08007,ES-B,ES,ESB62063821
APPLE TREE COMUNICATIONS,"ASSAONADORS, 31 PL 1",,Barcelona,08003,ES-B,ES,ESB64497902
APPS INSTALLER S.L.,"AV MARESME, 44 2 12",,Badalona,08918,ES-B,ES,ESB65373938
APRESTOS DE LANERIA S.A.,"CM MOLI DE L'AMAT, S/N",,Sabadell,08208,ES-B,ES,ESA08219644
APRESTOS Y ACABADOS SALAYET S.A.,"CR C-155, 10",,Lliça De Vall,08185,ES-B,ES,ESA08569147
APRI CENTER S.L.,"SANTALO, 10 35",,Barcelona,08021,ES-B,ES,ESB61048583
APUNTOLAPOSPO S.L.U.,"ESCOLES PIES, 132",,Barcelona,08017,ES-B,ES,ESB63626667
AQUABARNA S.L.,"TRANSVERSAL, 13 10 1",,Barcelona,08040,ES-B,ES,ESB60301819
AQUALOGY FACILITY MANAGEMENT S.A.,"AV DIAGONAL, 211",,Barcelona,08018,ES-B,ES,ESA61422309
AQUATECH GCER S.L.,"SANTA AMELIA, 37 2 2",,Barcelona,08034,ES-B,ES,ESB65192577
ARA LLIBRES S.C.C.L.,"CORDERS, 22",,Badalona,08911,ES-B,ES,ESF62332127
ARANOW PACKAGING MACHINERY S.L.,"JOSEP TURA, 11 F",,Sentmenat,08181,ES-B,ES,ESB63294359
A. R. B. 94 S.L.,"TER, 1 PG CAN CALOPA",,Valldoreix,08197,ES-B,ES,ESB60686169
ARBEPA S.A.,"PS MANUEL GIRONA, 33",,Barcelona,08034,ES-B,ES,ESA78141652
ARBER SURGICAL S.L.,"SOLEDAT, 80",,Sabadell,08202,ES-B,ES,ESB64535255
ARBITRADE S.A.,"NUMANCIA, 187",,Barcelona,08034,ES-B,ES,ESA08989402
ARC DE TRIOMF S.L.,"BERGARA, 11",,Barcelona,08002,ES-B,ES,ESB17597121
ARCELORMITTAL CASISA S.A.,"MOTORS, 2 4 1",,Barcelona,08040,ES-B,ES,ESA08264608
ARDERI PNC S.L.,"CR N -, S/N 152 ED. MCDONALD S",,Montcada I Reixac,08110,ES-B,ES,ESB61747549
ARDEX CEMENTO S.A.,"HOLANDA, 18",,P.O.Pla Llerona,08520,ES-B,ES,ESA59378166
AREA DE VILASANA S.L.,"MOSSEN CAMIL ROSSELL, 40",,Santa Coloma De Gramenet,08921,ES-B,ES,ESB25344896
AREA TRADERS S.A.,"VALENCIA, 17 PG CAN OLLER NV 4",,Santa Perpetua De Mogoda,08130,ES-B,ES,ESA58225798
ARENALES DE MAR S.A.,"AV DIAGONAL, 512",,Barcelona,08006,ES-B,ES,ESA17007014
ARIDS CATALUNYA S.A.,"LG TORRE CENDRERA, S/N",,Cerdanyola Del Valles,08290,ES-B,ES,ESA58447426
ARISTON ELECTRONICA S.A.,"GRAN VIA DE LES CORTS CATALANES, 581",,Barcelona,08011,ES-B,ES,ESA58442310
ARIVAL GESTIO DE MANTENIMENT D. EDIFICIS S.L.,"MUNTANER, 432 B 2",,Barcelona,08006,ES-B,ES,ESB62834080
ARLA MUSICAL S.L.,"AV JOSEP VICENÇ FOIX, 92 BX",,Barcelona,08034,ES-B,ES,ESB64765191
ARMANDRANA S.A.,"AV DIAGONAL, 576 5 2",,Barcelona,08021,ES-B,ES,ESA80222102
ARMELUX INTERNACIONAL S.L.U.,"CR RUBI, S/N 1503 BP",,Sant Quirze Del Valles,08192,ES-B,ES,ESB08539637
ARMOLTEC S.L.,"CAN CABANYES, 74",,Granollers,08403,ES-B,ES,ESB61129516
ARNABOLDI SPAIN S.L.,"AV PAU CASALS, 4",,Barcelona,08021,ES-B,ES,ESB83264291
ARS PIROTECNIA S.L.,"LG PARAJE CAN CUCUT, S/N",,La Roca Del Valles,08430,ES-B,ES,ESB61274684
ARTEMI NOLLA GRUP GESTIO DE RESTAURANTS S.L.,"DIPUTACIO, 273 PR",,Barcelona,08007,ES-B,ES,ESB62840673
ARTESANAL CHOCOLATERA S.L.,"CIUTAT D'ASUNCION, 58 BJ 2",,Barcelona,08030,ES-B,ES,ESB58286055
ARTESANA PUNT PLA S.L.,"PLA DE L'AMETLLERA, 48 L",,Terrassa,08225,ES-B,ES,ESB58085242
ARTESANIA CONGELADA S.L.,"AV SANT JULIA, 28",,Granollers,08403,ES-B,ES,ESB60959830
ARTESANIA Y DISEÑO TEXTIL S.A.,"CIUTAT DE GRANADA, 31",,Barcelona,08005,ES-B,ES,ESA58018037
ARTMUXART S.A.,"ROSSELLO, 255 PR 1",,Barcelona,08008,ES-B,ES,ESA60841103
ASCENSORS CAMPRUBI S.A.,"JOCS FLORALS, 70 BJ",,Barcelona,08014,ES-B,ES,ESA58132135
ASCENSORS SOLER S.A.,"CROS, 25 BJ",,Barcelona,08014,ES-B,ES,ESA08223612
ASFALTEX S.A.,"TER, 12",,Valldoreix,08197,ES-B,ES,ESA60170651
ASFALTOS AUGUSTA S.L.,"PZ TERRASSA INDUSTRIAL, 4 2 4",,Terrassa,08223,ES-B,ES,ESB64455835
ASFALTOS DEL VALLES S.A.,"AV FONT I SAGUE, 29",,Terrassa,08227,ES-B,ES,ESA60930344
ASFALTOS Y ACABADOS S.L.,"RD BELLESGUARD, 44 BX 3A",,Sabadell,08203,ES-B,ES,ESB61726618
ASISTENCIA DENTAL EUROPEA S.A.,"BALMES, S/N 5 4",,Barcelona,08006,ES-B,ES,ESA58509498
ASLAK S.L.,"MENORCA, 41",,Sant Quirze Del Valles,08192,ES-B,ES,ESB60463163
ASOC DE SALUD MENTAL HORTA GUINARDO,"L'ARQUITECTURA, 20 BJ",,Barcelona,08035,ES-B,ES,ESG08936619
ASOC ESPAÑOLA PARA LA INTERNACIONALIZACION DE LAS,"GRAN VIA DE LES CORTS CATALANES, 774 4",,Barcelona,08013,ES-B,ES,ESG08287963
ASOC PERE RELATS PARA ANCIANOS,"LLULL, 181",,Barcelona,08005,ES-B,ES,ESG08660516
ASSET LOGISTIC SOLAR S.L.,"AV DIAGONAL, 468 5 C",,Barcelona,08006,ES-B,ES,ESB04572392
ASSET SESTRA SOLAR S.A.,"AV DIAGONAL, 468 5 C",,Barcelona,08006,ES-B,ES,ESA04598777
ASSOCIACIO CENTRE L. ALBA,"IRADIER, 15 BJ 1",,Barcelona,08017,ES-B,ES,ESG08634669
